日期,交易类型,股票名称,最后持有股票数量,交易股票数量,交易价格,交易金额,交易成本,交易前股票数量,交易后股票数量,DCF价值,行业,估值比%,价值比描述,估值描述,价值过滤器,超买超卖过滤器,动量过滤器,价格成交量过滤器,满足维度数,actionDesc,收盘价,成交量,RSI指标,MACD DIF,MACD DEA,MACD HIST,boll_upper,boll_middle,量能倍数,行业RSI极端超买阈值,行业RSI极端超卖阈值,行业RSI超买阈值,行业RSI超卖阈值
2024-05-06,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.36,价值比0.36,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,35.91,641471.0,45.98,-1.43,-1.92,0.49,42.28,36.52,0.89,71.46,41.31,68.0,44.52
2024-05-06,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.59,价值比0.59,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,15.1,2449877.0,63.27,0.55,0.19,0.36,15.87,12.71,1.08,75.82,45.34,73.89,47.38
2024-05-06,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.52,价值比0.52,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,26.78,1577148.0,74.46,2.18,1.5,0.68,28.87,21.48,0.82,75.82,45.34,73.89,47.38
2024-05-13,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.35,价值比0.35,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,34.09,544292.0,43.28,-1.53,-1.84,0.31,42.29,36.43,0.82,71.46,41.31,68.0,44.52
2024-05-13,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.65,价值比0.65,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,22.52,1243766.0,61.09,1.78,1.5,0.28,25.1,19.74,0.74,75.82,45.34,73.89,47.38
2024-05-13,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.59,价值比0.59,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.89,2102973.0,61.36,0.59,0.27,0.32,16.13,12.88,1.02,75.82,45.34,73.89,47.38
2024-05-13,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.53,价值比0.53,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,26.75,1581555.0,74.24,2.22,1.65,0.57,29.42,21.96,0.97,75.82,45.34,73.89,47.38
2024-05-20,buy,中矿资源(002738),31300,0,0.0,0.0,0.0,,,100.0,能源金属,0.34,价值比0.34,"明显低估0.66, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,32.28,549162.0,40.72,-1.73,-1.82,0.09,42.3,36.18,1.03,71.46,41.31,68.0,44.52
2024-05-20,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.68,价值比0.68,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,23.38,1719916.0,63.46,1.8,1.56,0.24,25.48,20.07,1.17,75.82,45.34,73.89,47.38
2024-05-20,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.62,价值比0.62,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.09,3138776.0,54.63,0.55,0.32,0.23,16.25,12.98,1.45,75.82,45.34,73.89,47.38
